# Unified POJ Encoding Mappings
# Merged from Taiwanese Package (TP) and SinBongAi CTS (Tai-gi only)
# Excludes: Tai-lo (oo/OO) and Hakka (ii/II/ṳ/Ṳ)

====================================================================================================
## 1. TAIWANESE PACKAGE (TP) POJ MAPPINGS
====================================================================================================

### 1.1 TP POJ Numeric Format → Unicode
Standard numbering for Holo POJ used in the Taiwanese Package system.

Input      | Unicode Char(s)      | Description
-----------|----------------------|-----------------------------------------
a2         | á                    | LATIN SMALL LETTER A WITH ACUTE
a3         | à                    | LATIN SMALL LETTER A WITH GRAVE
a5         | â                    | LATIN SMALL LETTER A WITH CIRCUMFLEX
a7         | ā                    | LATIN SMALL LETTER A WITH MACRON
a8         | a̍                   | LATIN SMALL LETTER A + COMBINING VERTICAL LINE ABOVE
a9         | ă                    | LATIN SMALL LETTER A WITH BREVE
e2         | é                    | LATIN SMALL LETTER E WITH ACUTE
e3         | è                    | LATIN SMALL LETTER E WITH GRAVE
e5         | ê                    | LATIN SMALL LETTER E WITH CIRCUMFLEX
e7         | ē                    | LATIN SMALL LETTER E WITH MACRON
e8         | e̍                   | LATIN SMALL LETTER E + COMBINING VERTICAL LINE ABOVE
e9         | ĕ                    | LATIN SMALL LETTER E WITH BREVE
i2         | í                    | LATIN SMALL LETTER I WITH ACUTE
i3         | ì                    | LATIN SMALL LETTER I WITH GRAVE
i5         | î                    | LATIN SMALL LETTER I WITH CIRCUMFLEX
i7         | ī                    | LATIN SMALL LETTER I WITH MACRON
i8         | i̍                   | LATIN SMALL LETTER I + COMBINING VERTICAL LINE ABOVE
i9         | ĭ                    | LATIN SMALL LETTER I WITH BREVE
m2         | ḿ                    | LATIN SMALL LETTER M WITH ACUTE
m3         | m̀                   | LATIN SMALL LETTER M + COMBINING GRAVE ACCENT
m5         | m̂                   | LATIN SMALL LETTER M + COMBINING CIRCUMFLEX ACCENT
m7         | m̄                   | LATIN SMALL LETTER M + COMBINING MACRON
m8         | m̍                   | LATIN SMALL LETTER M + COMBINING VERTICAL LINE ABOVE
m9         | m̆                   | LATIN SMALL LETTER M + COMBINING BREVE
n2         | ń                    | LATIN SMALL LETTER N WITH ACUTE
n3         | ǹ                    | LATIN SMALL LETTER N WITH GRAVE
n5         | n̂                   | LATIN SMALL LETTER N + COMBINING CIRCUMFLEX ACCENT
n7         | n̄                   | LATIN SMALL LETTER N + COMBINING MACRON
n8         | n̍                   | LATIN SMALL LETTER N + COMBINING VERTICAL LINE ABOVE
n9         | n̆                   | LATIN SMALL LETTER N + COMBINING BREVE
o2         | ó                    | LATIN SMALL LETTER O WITH ACUTE
o3         | ò                    | LATIN SMALL LETTER O WITH GRAVE
o5         | ô                    | LATIN SMALL LETTER O WITH CIRCUMFLEX
o7         | ō                    | LATIN SMALL LETTER O WITH MACRON
o8         | o̍                   | LATIN SMALL LETTER O + COMBINING VERTICAL LINE ABOVE
o9         | ŏ                    | LATIN SMALL LETTER O WITH BREVE
ou         | o͘                   | LATIN SMALL LETTER O + COMBINING DOT ABOVE RIGHT
ou2        | ó͘                   | LATIN SMALL LETTER O WITH ACUTE + COMBINING DOT ABOVE RIGHT
ou3        | ò͘                   | LATIN SMALL LETTER O WITH GRAVE + COMBINING DOT ABOVE RIGHT
ou5        | ô͘                   | LATIN SMALL LETTER O WITH CIRCUMFLEX + COMBINING DOT ABOVE RIGHT
ou7        | ō͘                   | LATIN SMALL LETTER O WITH MACRON + COMBINING DOT ABOVE RIGHT
ou8        | o̍͘                  | LATIN SMALL LETTER O + COMBINING VERTICAL LINE ABOVE + COMBINING DOT ABOVE RIGHT
ou9        | ŏ͘                   | LATIN SMALL LETTER O WITH BREVE + COMBINING DOT ABOVE RIGHT
u2         | ú                    | LATIN SMALL LETTER U WITH ACUTE
u3         | ù                    | LATIN SMALL LETTER U WITH GRAVE
