# SinBongAi CTS encoding mapping data
# Source: references/SinBongAi/CTS/CTS.php

====================================================================================================
## 1. Tai-lo Unicode Map ($map_tailo - 110 entries)
====================================================================================================
Number     | Unicode Char(s)      | Hex Codes                      
-----------|----------------------|--------------------------------
A2         | Á                    | U+00C1
A3         | À                    | U+00C0
A5         | Â                    | U+00C2
A7         | Ā                    | U+0100
A8         | A̍                   | U+0041 U+030D
a2         | á                    | U+00E1
a3         | à                    | U+00E0
a5         | â                    | U+00E2
a7         | ā                    | U+0101
a8         | a̍                   | U+0061 U+030D
OO2        | ÓO                   | U+00D3 U+004F
OO3        | ÒO                   | U+00D2 U+004F
OO5        | ÔO                   | U+00D4 U+004F
OO7        | ŌO                   | U+014C U+004F
OO8        | O̍O                  | U+004F U+030D U+004F
oo2        | óo                   | U+00F3 U+006F
oo3        | òo                   | U+00F2 U+006F
oo5        | ôo                   | U+00F4 U+006F
oo7        | ōo                   | U+014D U+006F
oo8        | o̍o                  | U+006F U+030D U+006F
E2         | É                    | U+00C9
E3         | È                    | U+00C8
E5         | Ê                    | U+00CA
E7         | Ē                    | U+0112
E8         | E̍                   | U+0045 U+030D
e2         | é                    | U+00E9
e3         | è                    | U+00E8
e5         | ê                    | U+00EA
e7         | ē                    | U+0113
e8         | e̍                   | U+0065 U+030D
O2         | Ó                    | U+00D3
O3         | Ò                    | U+00D2
O5         | Ô                    | U+00D4
O7         | Ō                    | U+014C
O8         | O̍                   | U+004F U+030D
o2         | ó                    | U+00F3
o3         | ò                    | U+00F2
o5         | ô                    | U+00F4
o7         | ō                    | U+014D
o8         | o̍                   | U+006F U+030D
I2         | Í                    | U+00CD
I3         | Ì                    | U+00CC
I5         | Î                    | U+00CE
I7         | Ī                    | U+012A
I8         | I̍                   | U+0049 U+030D
i2         | í                    | U+00ED
i3         | ì                    | U+00EC
i5         | î                    | U+00EE
i7         | ī                    | U+012B
i8         | i̍                   | U+0069 U+030D
M2         | Ḿ                    | U+1E3E
M3         | M̀                   | U+004D U+0300
M5         | M̂                   | U+004D U+0302
M7         | M̄                   | U+004D U+0304
M8         | M̍                   | U+004D U+030D
m2         | ḿ                    | U+1E3F
m3         | m̀                   | U+006D U+0300
m5         | m̂                   | U+006D U+0302
m7         | m̄                   | U+006D U+0304
m8         | m̍                   | U+006D U+030D
N2         | Ń                    | U+0143
N3         | Ǹ                    | U+01F8
N5         | N̂                   | U+004E U+0302
N7         | N̄                   | U+004E U+0304
N8         | N̍                   | U+004E U+030D
n2         | ń                    | U+0144
n3         | ǹ                    | U+01F9
n5         | n̂                   | U+006E U+0302
n7         | n̄                   | U+006E U+0304
n8         | n̍                   | U+006E U+030D
U2         | Ú                    | U+00DA
U3         | Ù                    | U+00D9
U5         | Û                    | U+00DB
U7         | Ū                    | U+016A
U8         | U̍                   | U+0055 U+030D
u2         | ú                    | U+00FA
u3         | ù                    | U+00F9
u5         | û                    | U+00FB
u7         | ū                    | U+016B
u8         | u̍                   | U+0075 U+030D
a9         | ă                    | U+0103
i9         | ĭ                    | U+012D
u9         | ŭ                    | U+016D
e9         | ĕ                    | U+0115
o9         | ŏ                    | U+014F
oo9        | ŏ͘                   | U+014F U+0358
m9         | m̆                    | U+006D U+0306 U+0020
n9         | n̆g                   | U+006E U+0306 U+0067
A9         | Ă                    | U+0102
I9         | Ĭ                    | U+012C
U9         | Ŭ                    | U+016C
E9         | Ĕ                    | U+0114
O9         | Ŏ                    | U+014E
OO9        | Ŏ͘                   | U+014E U+0358
M9         | M̆                    | U+004D U+0306 U+0020
N9         | N̆g                   | U+004E U+0306 U+0067
II0        | Ṳ                    | U+1E72
II2        | Ṳ́                   | U+1E72 U+0301
II3        | Ṳ̀                   | U+1E72 U+0300
II4        | Ṳ                    | U+1E72
II5        | Ṳ̂                   | U+1E72 U+0302
II7        | Ṳ̄                   | U+1E72 U+0304
II8        | ̍Ṳ̍                  | U+030D U+1E72 U+030D
ii0        | ṳ                    | U+1E73
ii2        | ṳ́                   | U+1E73 U+0301
ii3        | ṳ̀                   | U+1E73 U+0300
ii4        | ṳ                    | U+1E73
ii5        | ṳ̂                   | U+1E73 U+0302
ii7        | ṳ̄                   | U+1E73 U+0304
ii8        | ṳ̍                   | U+1E73 U+030D


====================================================================================================
## 2. POJ Unicode Map ($map_utf8 - 122 entries)
====================================================================================================
Number     | Unicode Char(s)      | Hex Codes                      
-----------|----------------------|--------------------------------
A2         | Á                    | U+00C1
A3         | À                    | U+00C0
A5         | Â                    | U+00C2
A7         | Ā                    | U+0100
A8         | A̍                   | U+0041 U+030D
a2         | á                    | U+00E1
a3         | à                    | U+00E0
a5         | â                    | U+00E2
a7         | ā                    | U+0101
a8         | a̍                   | U+0061 U+030D
E2         | É                    | U+00C9
E3         | È                    | U+00C8
E5         | Ê                    | U+00CA
E7         | Ē                    | U+0112
E8         | E̍                   | U+0045 U+030D
e2         | é                    | U+00E9
e3         | è                    | U+00E8
e5         | ê                    | U+00EA
e7         | ē                    | U+0113
e8         | e̍                   | U+0065 U+030D
I2         | Í                    | U+00CD
I3         | Ì                    | U+00CC
I5         | Î                    | U+00CE
I7         | Ī                    | U+012A
I8         | I̍                   | U+0049 U+030D
i2         | í                    | U+00ED
i3         | ì                    | U+00EC
i5         | î                    | U+00EE
i7         | ī                    | U+012B
i8         | i̍                   | U+0069 U+030D
M2         | Ḿ                    | U+1E3E
M3         | M̀                   | U+004D U+0300
M5         | M̂                   | U+004D U+0302
M7         | M̄                   | U+004D U+0304
M8         | M̍                   | U+004D U+030D
m2         | ḿ                    | U+1E3F
m3         | m̀                   | U+006D U+0300
m5         | m̂                   | U+006D U+0302
m7         | m̄                   | U+006D U+0304
m8         | m̍                   | U+006D U+030D
nn         | ⁿ                    | U+207F
N2         | Ń                    | U+0143
N3         | Ǹ                    | U+01F8
N5         | N̂                   | U+004E U+0302
N7         | N̄                   | U+004D U+0304
N8         | N̍                   | U+004E U+030D
n2         | ń                    | U+0144
n3         | ǹ                    | U+01F9
n5         | n̂                   | U+006E U+0302
n7         | n̄                   | U+006E U+0304
n8         | n̍                   | U+006E U+030D
O2         | Ó                    | U+00D3
O3         | Ò                    | U+00D2
O5         | Ô                    | U+00D4
O7         | Ō                    | U+014C
O8         | O̍                   | U+004F U+030D
o2         | ó                    | U+00F3
o3         | ò                    | U+00F2
o5         | ô                    | U+00F4
o7         | ō                    | U+014D
o8         | o̍                   | U+006F U+030D
OU0        | O͘                   | U+004F U+0358
OU2        | Ò͘                   | U+00D2 U+0358
OU3        | Ó͘                   | U+00D3 U+0358
