# Taiwanese Package (TP) 2.10 — Complete Encoding Mapping Data
# Source: https://taigu.fhl.net/TP/
# Author: Kiatgak (劉杰岳), Phahng Taiwanese Workshop
# Extracted from: Taiwanese210.exe
# Date: 2005/11/16


====================================================================================================
## 1. NUMBER FORMAT → UNICODE (Holo/POJ) Conversion Table — 112 entries
====================================================================================================
Number     | Unicode Char(s)      | Hex Codes                      | Description
-----------|----------------------|--------------------------------|-----------------------------------------
a2         | á                    | U+00E1                         | LATIN SMALL LETTER A WITH ACUTE
a3         | à                    | U+00E0                         | LATIN SMALL LETTER A WITH GRAVE
a5         | â                    | U+00E2                         | LATIN SMALL LETTER A WITH CIRCUMFLEX
a7         | ā                    | U+0101                         | LATIN SMALL LETTER A WITH MACRON
a8         | a̍                   | U+0061 U+030D                  | LATIN SMALL LETTER A + COMBINING VERTICAL LINE ABOVE
a9         | ă                    | U+0103                         | LATIN SMALL LETTER A WITH BREVE
e2         | é                    | U+00E9                         | LATIN SMALL LETTER E WITH ACUTE
e3         | è                    | U+00E8                         | LATIN SMALL LETTER E WITH GRAVE
e5         | ê                    | U+00EA                         | LATIN SMALL LETTER E WITH CIRCUMFLEX
e7         | ē                    | U+0113                         | LATIN SMALL LETTER E WITH MACRON
e8         | e̍                   | U+0065 U+030D                  | LATIN SMALL LETTER E + COMBINING VERTICAL LINE ABOVE
e9         | ĕ                    | U+0115                         | LATIN SMALL LETTER E WITH BREVE
i2         | í                    | U+00ED                         | LATIN SMALL LETTER I WITH ACUTE
i3         | ì                    | U+00EC                         | LATIN SMALL LETTER I WITH GRAVE
i5         | î                    | U+00EE                         | LATIN SMALL LETTER I WITH CIRCUMFLEX
i7         | ī                    | U+012B                         | LATIN SMALL LETTER I WITH MACRON
i8         | i̍                   | U+0069 U+030D                  | LATIN SMALL LETTER I + COMBINING VERTICAL LINE ABOVE
i9         | ĭ                    | U+012D                         | LATIN SMALL LETTER I WITH BREVE
ii         | ṳ                    | U+1E73                         | LATIN SMALL LETTER U WITH DIAERESIS BELOW
ii2        | ṳ́                   | U+1E73 U+0301                  | LATIN SMALL LETTER U WITH DIAERESIS BELOW + COMBINING ACUTE ACCENT
ii3        | ṳ̀                   | U+1E73 U+0300                  | LATIN SMALL LETTER U WITH DIAERESIS BELOW + COMBINING GRAVE ACCENT
ii5        | ṳ̂                   | U+1E73 U+0302                  | LATIN SMALL LETTER U WITH DIAERESIS BELOW + COMBINING CIRCUMFLEX ACCENT
ii7        | ṳ̄                   | U+1E73 U+0304                  | LATIN SMALL LETTER U WITH DIAERESIS BELOW + COMBINING MACRON
ii8        | ṳ̍                   | U+1E73 U+030D                  | LATIN SMALL LETTER U WITH DIAERESIS BELOW + COMBINING VERTICAL LINE ABOVE
m2         | ḿ                    | U+1E3F                         | LATIN SMALL LETTER M WITH ACUTE
m3         | m̀                   | U+006D U+0300                  | LATIN SMALL LETTER M + COMBINING GRAVE ACCENT
m5         | m̂                   | U+006D U+0302                  | LATIN SMALL LETTER M + COMBINING CIRCUMFLEX ACCENT
m7         | m̄                   | U+006D U+0304                  | LATIN SMALL LETTER M + COMBINING MACRON
m8         | m̍                   | U+006D U+030D                  | LATIN SMALL LETTER M + COMBINING VERTICAL LINE ABOVE
m9         | m̆                   | U+006D U+0306                  | LATIN SMALL LETTER M + COMBINING BREVE
n2         | ń                    | U+0144                         | LATIN SMALL LETTER N WITH ACUTE
n3         | ǹ                    | U+01F9                         | LATIN SMALL LETTER N WITH GRAVE
n5         | n̂                   | U+006E U+0302                  | LATIN SMALL LETTER N + COMBINING CIRCUMFLEX ACCENT
n7         | n̄                   | U+006E U+0304                  | LATIN SMALL LETTER N + COMBINING MACRON
n8         | n̍                   | U+006E U+030D                  | LATIN SMALL LETTER N + COMBINING VERTICAL LINE ABOVE
n9         | n̆                   | U+006E U+0306                  | LATIN SMALL LETTER N + COMBINING BREVE
o2         | ó                    | U+00F3                         | LATIN SMALL LETTER O WITH ACUTE
o3         | ò                    | U+00F2                         | LATIN SMALL LETTER O WITH GRAVE
o5         | ô                    | U+00F4                         | LATIN SMALL LETTER O WITH CIRCUMFLEX
o7         | ō                    | U+014D                         | LATIN SMALL LETTER O WITH MACRON
o8         | o̍                   | U+006F U+030D                  | LATIN SMALL LETTER O + COMBINING VERTICAL LINE ABOVE
o9         | ŏ                    | U+014F                         | LATIN SMALL LETTER O WITH BREVE
ou         | o͘                   | U+006F U+0358                  | LATIN SMALL LETTER O + COMBINING DOT ABOVE RIGHT
ou2        | ó͘                   | U+00F3 U+0358                  | LATIN SMALL LETTER O WITH ACUTE + COMBINING DOT ABOVE RIGHT
ou3        | ò͘                   | U+00F2 U+0358                  | LATIN SMALL LETTER O WITH GRAVE + COMBINING DOT ABOVE RIGHT
ou5        | ô͘                   | U+00F4 U+0358                  | LATIN SMALL LETTER O WITH CIRCUMFLEX + COMBINING DOT ABOVE RIGHT
ou7        | ō͘                   | U+014D U+0358                  | LATIN SMALL LETTER O WITH MACRON + COMBINING DOT ABOVE RIGHT
ou8        | o̍͘                  | U+006F U+030D U+0358           | LATIN SMALL LETTER O + COMBINING VERTICAL LINE ABOVE + COMBINING DOT ABOVE RIGHT
ou9        | ŏ͘                   | U+014F U+0358                  | LATIN SMALL LETTER O WITH BREVE + COMBINING DOT ABOVE RIGHT
u2         | ú                    | U+00FA                         | LATIN SMALL LETTER U WITH ACUTE
u3         | ù                    | U+00F9                         | LATIN SMALL LETTER U WITH GRAVE
u5         | û                    | U+00FB                         | LATIN SMALL LETTER U WITH CIRCUMFLEX
u7         | ū                    | U+016B                         | LATIN SMALL LETTER U WITH MACRON
u8         | u̍                   | U+0075 U+030D                  | LATIN SMALL LETTER U + COMBINING VERTICAL LINE ABOVE
u9         | ŭ                    | U+016D                         | LATIN SMALL LETTER U WITH BREVE
nn         | ⁿ                    | U+207F                         | SUPERSCRIPT LATIN SMALL LETTER N
N          | ⁿ                    | U+207F                         | SUPERSCRIPT LATIN SMALL LETTER N
A2         | Á                    | U+00C1                         | LATIN CAPITAL LETTER A WITH ACUTE
A3         | À                    | U+00C0                         | LATIN CAPITAL LETTER A WITH GRAVE
A5         | Â                    | U+00C2                         | LATIN CAPITAL LETTER A WITH CIRCUMFLEX
A7         | Ā                    | U+0100                         | LATIN CAPITAL LETTER A WITH MACRON
A8         | A̍                   | U+0041 U+030D                  | LATIN CAPITAL LETTER A + COMBINING VERTICAL LINE ABOVE
A9         | Ă                    | U+0102                         | LATIN CAPITAL LETTER A WITH BREVE
E2         | É                    | U+00C9                         | LATIN CAPITAL LETTER E WITH ACUTE
E3         | È                    | U+00C8                         | LATIN CAPITAL LETTER E WITH GRAVE
E5         | Ê                    | U+00CA                         | LATIN CAPITAL LETTER E WITH CIRCUMFLEX
E7         | Ē                    | U+0112                         | LATIN CAPITAL LETTER E WITH MACRON
E8         | E̍                   | U+0045 U+030D                  | LATIN CAPITAL LETTER E + COMBINING VERTICAL LINE ABOVE
E9         | Ĕ                    | U+0114                         | LATIN CAPITAL LETTER E WITH BREVE
I2         | Í                    | U+00CD                         | LATIN CAPITAL LETTER I WITH ACUTE
I3         | Ì                    | U+00CC                         | LATIN CAPITAL LETTER I WITH GRAVE
I5         | Î                    | U+00CE                         | LATIN CAPITAL LETTER I WITH CIRCUMFLEX
I7         | Ī                    | U+012A                         | LATIN CAPITAL LETTER I WITH MACRON
I8         | I̍                   | U+0049 U+030D                  | LATIN CAPITAL LETTER I + COMBINING VERTICAL LINE ABOVE
I9         | Ĭ                    | U+012C                         | LATIN CAPITAL LETTER I WITH BREVE
Ii         | Ṳ                    | U+1E72                         | LATIN CAPITAL LETTER U WITH DIAERESIS BELOW
Ii2        | Ṳ́                   | U+1E72 U+0301                  | LATIN CAPITAL LETTER U WITH DIAERESIS BELOW + COMBINING ACUTE ACCENT
Ii3        | Ṳ̀                   | U+1E72 U+0300                  | LATIN CAPITAL LETTER U WITH DIAERESIS BELOW + COMBINING GRAVE ACCENT
Ii5        | Ṳ̂                   | U+1E72 U+0302                  | LATIN CAPITAL LETTER U WITH DIAERESIS BELOW + COMBINING CIRCUMFLEX ACCENT
Ii7        | Ṳ̄                   | U+1E72 U+0304                  | LATIN CAPITAL LETTER U WITH DIAERESIS BELOW + COMBINING MACRON
Ii8        | Ṳ̍                   | U+1E72 U+030D                  | LATIN CAPITAL LETTER U WITH DIAERESIS BELOW + COMBINING VERTICAL LINE ABOVE
M2         | Ḿ                    | U+1E3E                         | LATIN CAPITAL LETTER M WITH ACUTE
M3         | M̀                   | U+004D U+0300                  | LATIN CAPITAL LETTER M + COMBINING GRAVE ACCENT
M5         | M̂                   | U+004D U+0302                  | LATIN CAPITAL LETTER M + COMBINING CIRCUMFLEX ACCENT
M7         | M̄                   | U+004D U+0304                  | LATIN CAPITAL LETTER M + COMBINING MACRON
M8         | M̍                   | U+004D U+030D                  | LATIN CAPITAL LETTER M + COMBINING VERTICAL LINE ABOVE
M9         | M̆                   | U+004D U+0306                  | LATIN CAPITAL LETTER M + COMBINING BREVE
N2         | Ń                    | U+0143                         | LATIN CAPITAL LETTER N WITH ACUTE
N3         | Ǹ                    | U+01F8                         | LATIN CAPITAL LETTER N WITH GRAVE
N5         | N̂                   | U+004E U+0302                  | LATIN CAPITAL LETTER N + COMBINING CIRCUMFLEX ACCENT
N7         | N̄                   | U+004E U+0304                  | LATIN CAPITAL LETTER N + COMBINING MACRON
N8         | N̍                   | U+004E U+030D                  | LATIN CAPITAL LETTER N + COMBINING VERTICAL LINE ABOVE
